Name,Anime,Favourites
Power,"Chainsaw Man, Chainsaw Man, Chainsaw Man: Buddy Stories, Chainsaw Man: Reze-hen",17774
Yuuji Itadori,"Jujutsu Kaisen, Jujutsu Kaisen, Jujutsu Kaisen: Yoake no Ibara Michi, Jujutsu Kaisen: Iku Natsu to Kaeru Aki, Jujutsu Kaisen 2nd Season, Jujutsu Kaisen: Shimetsu Kaiyuu",17693
Shigeo Kageyama,"Mob Psycho 100, Mob Psycho 100, Mob Psycho 100 REIGEN: Shirarezaru Kiseki Reinouryokusha, Mob Psycho 100 II, Mob Psycho 100: Daiikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi, Mob Psycho mini, REIGEN: Reikyuuchi MAX 131 no Otoko, Sekai Oni×Mob Psycho 100 , Mob Psycho 100 III, Mob Psycho 100×Hito Kui, Mob Psycho Koushiki Anthology",17380
Violet Evergarden,"Violet Evergarden, Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou, Violet Evergarden Gaiden, Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou, Violet Evergarden Movie, Violet Evergarden, Violet Evergarden Ever After, Violet Evergarden CM",17324
Sakura Matou,"Carnival Phantasm, Carnival Phantasm: HibiChika Special, Fate/stay night, Fate/stay night Movie: UNLIMITED BLADE WORKS, Fate/Zero, Fate/Zero 2nd Season, Fate/stay night: Unlimited Blade Works, Fate/stay night [Heaven's Feel] I. presage flower, Fate/stay night: Unlimited Blade Works 2nd Season, Fate/stay night, Fate/Zero, Fate/Zero, ALL AROUND TYPE-MOON, Fate/kaleid liner Prisma☆Illya 2wei!, Emiya-san Chi no Kyou no Gohan, Fate/kaleid liner Prisma☆Illya: Sekka no Chikai, Fate/stay night: Unlimited Blade Works 2nd Season - sunny day, Fate/stay night [Heaven's Feel] II. lost butterfly, Fate/EXTRA Last Encore, Fate/stay night [Heaven's Feel] III. spring song, Fate/kaleid liner Prisma☆Illya: Sekka no Chikai - Kuro Sakura no Heya, Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm, Fate/hollow ataraxia, Fate/kaleid liner Prisma☆Illya 3rei!!, Fate/Stay Night: Comic Battle",17276
Kakashi Hatake,"NARUTO, NARUTO: Soyokazeden - Naruto to Mashin to Mitsu no Onegai Dattebayo!!, NARUTO: Narutimate Hero 3: Tsui ni Gekitotsu! Jounin VS Genin!! Musabetsu Dairansen Taikai Kaisai!!, NARUTO: Akaki Yotsuba no Clover wo Sagase, NARUTO: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!, NARUTO: Dai Koufun! Mikazukijima no Animal Panic Dattebayo!, NARUTO: Shippuuden - Shippu! ""Konoha Gakuen"" Den, NARUTO: Shippuuden Movie, NARUTO: Shippuuden - Kizuna, NARUTO: Shippuuden - Hi no Ishi wo Tsugu Mono, NARUTO: Blood Prison, ROAD TO NINJA: NARUTO THE MOVIE, NARUTO: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!, NARUTO: THE CROSS ROADS, NARUTO SD Rock Lee no Seishun Full-Power Ninden, NARUTO: Shippuuden, NARUTO: Shippuuden - The Lost Tower, NARUTO, Rock Lee no Seishun Full-Power Ninden, NARUTO: Road to Ninja, BORUTO: NARUTO NEXT GENERATIONS, THE LAST: NARUTO THE MOVIE, NARUTO Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki, Uchiha Sasuke no Sharingan Den, NARUTO: Dai Katsugeki! Yuki Hime Ninpouchou Dattebayo!!",17200
Kurapika,"HUNTER×HUNTER: Phantom Rouge, HUNTER×HUNTER Pilot-ban, HUNTER×HUNTER, HUNTER×HUNTER OVA, HUNTER×HUNTER: Greed Island, HUNTER×HUNTER: Greed Island Final, HUNTER×HUNTER (2011), HUNTER×HUNTER, HUNTER×HUNTER: Kurapika Tsuioku-hen, HUNTER×HUNTER: THE LAST MISSION",16941
Denji,"Chainsaw Man, Chainsaw Man: Buddy Stories, Chainsaw Man, Chainsaw Man: Reze-hen",16576
Light Yagami,"DEATH NOTE, DEATH NOTE Rewrite, DEATH NOTE, Death Parade, DEATH NOTE ni Rakugaki 4-koma",16339
Edward Elric,"Hagane no Renkinjutsushi, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST - Arakawa Hiromu Kaki Oroshi 4-koma Gekijou, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST Mihousou Episode, Hagane no Renkinjutsushi: Milos no Seinaru Hoshi, Hagane no Renkinjutsushi: PREMIUM COLLECTION, Hagane no Renkinjutsushi: Shamballa wo Yuku Mono, Hagane no Renkinjutsushi: Reflections, Hagane no Renkinjutsushi, Hagane no Renkinjutsushi, Hagane no Renkinjutsushi: Prototype, Hagane no Renkinjutsushi 0, Hagane no Renkinjutsushi: Milos no Seinaru Hoshi Tokubetsu Eizou, Hagane no Renkinjutsushi 11.5: Tabidachi no Mae ni, Hagane no Renkinjutsushi: 20th ANNIVERSARY BOOK",16039
